 编号    说明 
I/O错误: (编号100-149)
 
100 磁盘读错误,若要超格式文件尾进行读取 
101 磁盘写错误,若磁盘满,由CloseFile,Write,Writeln或Flush报告 
102 没指定文件,若文件变量没由Assign或AssignFile赋值,由Reset, Rewrite,Append,RenameErase报告 
103 文件没打,若文件未打,由CloseFile,Read,Write,Seek,Eof, FilePos,FileSize,Flush,BlockRead或BlockWrite报告 
104 输入文件未打,由Read,Readln,Eof,Eoln,SeekEof或SeekEoln报告关输入文 
105 输文件未打,由WriteWriteln报告关文本文件没用Console应用程序 
106 效数据格式,由Read或Readln报告文本文件读取数据格式确 
致命错误: (编号200-255)
 
200 零除 
201 范围检查错误 
202 栈溢 
203 栈溢错误 
204 效指针操作 
205 浮点溢 
206 浮点溢 
207 效浮点操作 
215 算术溢错误 
216 存取非 
217 控制-C 
218 授权指令 
219 效TYPECAST 
220 效变体TYPECAST 
221 效变体操作 
222 没变体调用DISPATCHER 
223 能建立变体数组 
224 变体包含数组 
225 变体数组边界错误 
226 TLS初始化错误
